iter	RMSE
0	730.354178
1	714.6617078
2	700.8212647
3	688.5388607
4	677.3486597
5	667.3512091
6	658.7423043
7	650.7623559
8	643.780488
9	637.4261545
10	631.9563962
11	627.1485469
12	622.6326345
13	618.9778516
14	615.4857293
15	612.3690493
16	609.674724
17	607.2763712
18	605.1245578
19	603.2296138
20	601.6010309
21	600.0715526
22	598.750487
23	597.5624253
24	596.5581711
25	595.6291936
26	594.8412472
27	594.1543516
28	593.5812836
29	592.9781237
30	592.4577709
31	591.970031
32	591.5484577
33	591.1686008
34	590.8347731
35	590.5376803
36	590.2697247
37	590.0089977
38	589.7372928
39	589.5449102
40	589.3488254
41	589.1664729
42	588.9549867
43	588.7864843
44	588.6363115
45	588.5012912
46	588.3632546
47	588.2535847
48	588.1133834
49	588.0058565
50	587.8736987
51	587.778196
52	587.6890455
53	587.620591
54	587.4998082
55	587.4345335
56	587.3675264
57	587.3012014
58	587.2303583
59	587.133492
60	587.0564802
61	586.9442216
62	586.8767104
63	586.8065284
64	586.756141
65	586.6681272
66	586.5862163
67	586.5163791
68	586.4343079
69	586.3557201
70	586.2792512
71	586.1888814
72	586.0947645
73	586.0706127
74	586.023595
75	585.9774014
76	585.9114246
77	585.844328
78	585.8144004
79	585.7483652
80	585.7165128
81	585.6194106
82	585.5367571
83	585.4661464
84	585.3814413
85	585.3493823
86	585.2975894
87	585.2356491
88	585.194453
89	585.143371
90	585.1223448
91	585.0881364
92	585.0492268
93	584.9801435
94	584.9370819
95	584.9141158
96	584.8246859
97	584.773318
98	584.7515197
99	584.7140702
100	584.6346711
101	584.5890077
102	584.5310819
103	584.488533
104	584.4690938
105	584.424407
106	584.3509497
107	584.2890559
108	584.2357286
109	584.2016806
110	584.1852694
111	584.1075984
112	584.0737023
113	584.0180309
114	583.9666257
115	583.8835379
116	583.8649687
117	583.8000682
118	583.7684864
119	583.7141842
120	583.6722831
121	583.6019367
122	583.5302073
123	583.4627558
124	583.4157595
125	583.4044453
126	583.3668189
127	583.2979904
128	583.2628499
129	583.2042954
130	583.1663302
131	583.1156271
132	583.0823347
133	583.0649622
134	583.0397408
135	582.9940398
136	582.971984
137	582.9311243
138	582.8933095
139	582.8370869
140	582.7667425
141	582.7191797
142	582.6835862
143	582.6452179
144	582.6095162
145	582.5736715
146	582.5483978
147	582.4946374
148	582.4606168
149	582.4025792
150	582.3734997
151	582.3314986
152	582.3011048
153	582.2819196
154	582.2451112
155	582.176894
156	582.1641093
157	582.1316504
158	582.0945653
159	582.0411497
160	582.0190473
161	581.9926134
162	581.959586
163	581.8971884
164	581.8783268
165	581.8411258
166	581.8094327
167	581.7805478
168	581.7042541
