iter	Passed	Remaining
0	16	33441
1	30	30382
2	43	28712
3	55	27693
4	65	26058
5	74	24853
6	84	24148
7	95	23655
8	105	23368
9	115	22930
10	125	22695
11	135	22529
12	147	22480
13	158	22414
14	169	22447
15	181	22462
16	191	22342
17	201	22222
18	216	22614
19	229	22738
20	241	22789
21	256	23054
22	270	23289
23	288	23782
24	303	23989
25	317	24113
26	333	24401
27	350	24702
28	366	24887
29	382	25121
30	395	25143
31	411	25324
32	427	25456
33	440	25485
34	455	25572
35	468	25568
36	482	25572
37	495	25602
38	509	25616
39	523	25639
40	537	25701
41	550	25678
42	562	25611
43	575	25574
44	588	25573
45	604	25681
46	617	25679
47	631	25669
48	644	25669
49	656	25608
50	666	25462
51	677	25376
52	686	25233
53	697	25140
54	707	25013
55	717	24899
56	728	24843
57	742	24870
58	801	26358
59	832	26905
60	846	26892
61	860	26894
62	873	26844
63	886	26815
64	898	26749
65	911	26698
66	923	26642
67	935	26589
68	948	26551
69	962	26529
70	972	26427
71	984	26361
72	994	26240
73	1004	26139
74	1016	26086
75	1026	25992
76	1038	25923
77	1050	25890
78	1060	25797
79	1071	25717
80	1081	25628
81	1092	25553
82	1104	25501
83	1116	25470
84	1128	25416
85	1141	25398
86	1152	25351
87	1167	25360
88	1178	25313
89	1190	25262
90	1203	25252
91	1214	25194
92	1225	25134
93	1236	25064
94	1247	25016
95	1258	24967
96	1270	24921
97	1280	24850
98	1290	24781
99	1301	24722
100	1310	24646
101	1321	24592
102	1332	24540
103	1344	24507
104	1356	24482
105	1369	24467
106	1380	24418
107	1391	24374
108	1402	24337
109	1414	24305
110	1429	24330
111	1445	24362
112	1460	24389
113	1472	24366
114	1484	24335
115	1496	24303
116	1507	24266
117	1517	24197
118	1527	24138
119	1537	24092
120	1551	24086
121	1563	24062
122	1573	24016
123	1583	23954
124	1594	23911
125	1603	23850
126	1613	23789
127	1622	23735
128	1632	23682
129	1644	23650
130	1654	23601
131	1665	23574
132	1677	23543
133	1687	23495
134	1696	23440
135	1707	23399
136	1717	23354
137	1728	23324
138	1740	23301
139	1751	23271
140	1763	23250
141	1775	23235
142	1788	23222
143	1800	23211
144	1813	23202
145	1827	23212
146	1837	23163
147	1848	23125
148	1860	23114
149	1870	23074
150	1882	23048
151	1892	23006
152	1902	22962
153	1912	22921
154	1921	22872
155	1932	22837
156	1942	22806
157	1953	22777
158	1963	22736
159	1974	22706
160	1983	22661
161	1994	22629
162	2005	22597
163	2015	22559
164	2026	22538
165	2038	22522
166	2050	22506
167	2062	22496
168	2075	22482
169	2086	22457
170	2098	22441
171	2108	22412
172	2121	22401
173	2135	22406
174	2146	22379
175	2159	22375
176	2173	22381
177	2185	22373
178	2197	22352
179	2207	22321
180	2219	22303
181	2231	22290
182	2244	22281
183	2256	22269
184	2272	22292
185	2283	22267
186	2295	22256
187	2308	22250
188	2320	22234
189	2331	22212
190	2343	22192
191	2354	22169
192	2364	22135
193	2374	22108
194	2385	22079
195	2395	22048
196	2408	22040
197	2418	22014
198	2433	22019
199	2443	21991
200	2455	21975
201	2465	21947
202	2476	21922
203	2486	21894
204	2496	21861
205	2506	21832
206	2517	21803
207	2527	21772
208	2537	21741
209	2547	21711
210	2557	21682
211	2567	21651
212	2576	21619
213	2586	21582
214	2595	21545
215	2604	21514
216	2614	21480
217	2624	21453
218	2635	21431
219	2646	21413
220	2657	21391
221	2668	21374
222	2679	21353
223	2690	21329
224	2701	21313
225	2713	21297
226	2724	21281
227	2735	21262
228	2744	21223
229	2754	21197
230	2765	21181
231	2778	21175
232	2789	21158
233	2799	21131
234	2813	21134
235	2838	21218
236	2853	21228
237	2878	21308
238	2893	21316
239	2908	21332
240	2917	21293
241	2929	21278
242	2941	21267
243	2949	21230
244	2958	21192
245	2970	21179
246	2981	21159
247	2994	21155
248	3007	21149
249	3018	21132
250	3026	21090
251	3037	21067
252	3048	21048
253	3061	21044
254	3077	21060
255	3088	21043
256	3102	21043
257	3115	21035
258	3126	21019
259	3138	21002
260	3150	20988
261	3160	20964
262	3170	20941
263	3181	20918
264	3192	20900
265	3203	20882
266	3214	20861
267	3223	20835
268	3235	20817
269	3244	20788
270	3254	20763
271	3264	20737
272	3276	20725
273	3286	20704
274	3298	20687
275	3309	20675
276	3321	20660
277	3334	20652
278	3344	20632
279	3356	20618
280	3368	20606
281	3380	20593
282	3391	20576
283	3402	20557
284	3411	20526
285	3420	20500
286	3429	20470
287	3439	20446
288	3446	20407
289	3456	20381
290	3466	20359
291	3478	20346
292	3488	20323
293	3500	20312
